ProductKey	ProductAlternateKey	ProductSubcategoryKey	WeightUnitMeasureCode	SizeUnitMeasureCode	EnglishProductName	SpanishProductName	FrenchProductName	StandardCost	FinishedGoodsFlag	Color	SafetyStockLevel	ReorderPoint	ListPrice	Size	SizeRange	Weight	DaysToManufacture	ProductLine	DealerPrice	Class	Style	ModelName	EnglishDescription	FrenchDescription	ChineseDescription	ArabicDescription	HebrewDescription	ThaiDescription	GermanDescription	JapaneseDescription	TurkishDescription	StartDate	EndDate	Status	EnglishProductSubcategoryName	EnglishProductCategoryName
1	AR-5381				Adjustable Race				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
2	BA-8327				Bearing Ball				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
12	CR-9981				Crown Race				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
14	DC-8732				Decal 1				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
15	DC-9824				Decal 2				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
22	FW-1000				Flat Washer 1				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
23	FW-1200				Flat Washer 6				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
24	FW-1400				Flat Washer 2				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
25	FW-3400				Flat Washer 9				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
26	FW-3800				Flat Washer 4				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
27	FW-5160				Flat Washer 3				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
28	FW-5800				Flat Washer 8				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
29	FW-7160				Flat Washer 5				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
30	FW-9160				Flat Washer 7				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
38	HJ-1213				Thin-Jam Hex Nut 9				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
39	HJ-1220				Thin-Jam Hex Nut 10				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
40	HJ-1420				Thin-Jam Hex Nut 1				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
41	HJ-1428				Thin-Jam Hex Nut 2				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
42	HJ-3410				Thin-Jam Hex Nut 15				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
43	HJ-3416				Thin-Jam Hex Nut 16				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
44	HJ-3816				Thin-Jam Hex Nut 5				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
45	HJ-3824				Thin-Jam Hex Nut 6				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
46	HJ-5161				Thin-Jam Hex Nut 3				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
47	HJ-5162				Thin-Jam Hex Nut 4				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
48	HJ-5811				Thin-Jam Hex Nut 13				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
49	HJ-5818				Thin-Jam Hex Nut 14				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
50	HJ-7161				Thin-Jam Hex Nut 7				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
51	HJ-7162				Thin-Jam Hex Nut 8				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
52	HJ-9080				Thin-Jam Hex Nut 12				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
53	HJ-9161				Thin-Jam Hex Nut 11				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
54	HN-1024				Hex Nut 5				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
55	HN-1032				Hex Nut 6				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
56	HN-1213				Hex Nut 16				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
57	HN-1220				Hex Nut 17				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
58	HN-1224				Hex Nut 7				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
59	HN-1420				Hex Nut 8				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
60	HN-1428				Hex Nut 9				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
61	HN-3410				Hex Nut 22				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
62	HN-3416				Hex Nut 23				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
63	HN-3816				Hex Nut 12				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
64	HN-3824				Hex Nut 13				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
65	HN-4402				Hex Nut 1				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
66	HN-5161				Hex Nut 10				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
67	HN-5162				Hex Nut 11				False	NA	1000	750			NA		0															7/1/2003 12:00:00 AM		Current		
